"MedianHomeValue2000"	"MedianHomeValue2010"	"MHV.Change.00.to.10"	"MHV.Growth.00.to.12"
337600.1	463500	125899.9	37.2926133611927
374551.21000233	576700	202148.78999767	53.9709349747962
267116.415	357200	90083.585	33.7244661658101
373320.80040917	547200	173879.19959083	46.5763491882192
259642.825	390800	131157.175	50.5144615492456
232454.42	359800	127345.58	54.7830323037093
147925.54	160000	12074.46	8.16252555170662
207454.15149303	295000	87545.84850697	42.200094756798
232067.855	357800	125732.145	54.1790438835228
198823.265	248000	49176.735	24.7338936919681
184906.925	197900	12993.075	7.02681903341369
183876.085	289800	105923.915	57.6061400263117
172665.7	245300	72634.3	42.066432418251
216089.835	316400	100310.165	46.4205847535586
216476.4	339300	122823.6	56.7376397611933
192362.306628805	280800	88437.693371195	45.974544036764
202422.32147859	283000	80577.67852141	39.8067159455696
208873.955644275	294000	85126.044355725	40.7547432580344
217762.11132435	295900	78137.88867565	35.8822240473532
169830.89	205600	35769.11	21.0616042817652
216347.550540765	339900	123552.449459235	57.108319068283
240185.72	357500	117314.28	48.8431535396859
334121.015	531900	197778.985	59.1938178447111
233873.48362156	361000	127126.51637844	54.3569601862811
242247.4	357100	114852.6	47.4112828455537
238666.24070778	350500	111833.75929222	46.8578040030169
198952.114459235	298400	99447.885540765	49.9858399650946
199791.634678595	219100	19308.365321405	9.66425113467157
277038.24948458	464200	187161.75051542	67.5580902144841
277038.23866076	376500	99461.76133924	35.9018169549632
245339.925798475	379800	134460.074201525	54.805622755414
251911.534921835	376700	124788.465078165	49.5366220990576
446216.43350193	629600	183383.56649807	41.0974479489395
217893.805	279800	61906.195	28.4111771787178
282063.60453527	431400	149336.39546473	52.9442271401082
431664.24613435	605800	174135.75386565	40.3405552869098
277956.339684465	374300	96343.660315535	34.6614365496768
350485.6	481400	130914.4	37.3522906504575
476634.645	653100	176465.355	37.0231910019885
247287.160910835	356000	108712.839089165	43.9621849710038
319152.599824855	474300	155147.400175145	48.6122940124213
215058.995	315000	99941.005	46.4714368259742
405377.83	558100	152722.17	37.6740311624836
19714.815	28300	8585.185	43.5468707162608
22034.205	19200	-2834.205	-12.8627513450111
181298.985	240700	59401.015	32.7641188945432
200627.235	280900	80272.765	40.0109013115791
191220.82	287500	96279.18	50.3497370213139
36208.255	15800	-20408.255	-56.3635419602519
198694.41	322100	123405.59	62.1082344490718
290696.88	356600	65903.12	22.6707352345852
254607.98415963	396600	141992.01584037	55.7688779120713
357701.48	496400	138698.52	38.7749360164794
210806.78	123500	-87306.78	-41.4155465018725
202817.77	305600	102782.23	50.6771324820305
199338.685	268700	69361.315	34.7957121318423
251396.105	355000	103603.895	41.2114161434601
279486.495	417300	137813.505	49.3095399833183
222274.875	377000	154725.125	69.6098130749146
95996.972886778	281500	185503.027113222	193.238413186227
95996.97319603	81300	-14696.97319603	-15.309829786006
139672.79757501	195600	55927.20242499	40.041585330855
244477.668598945	339300	94822.331401055	38.7856821215875
233485.26	343100	109614.74	46.9471777361877
264797.025	391600	126802.975	47.8868578678329
245726.485	343900	98173.515	39.9523539353114
228717.625	342200	113482.375	49.6168036897025
252040.37304183	371600	119559.62695817	47.4366965558836
227557.93541191	345800	118242.06458809	51.9613013600498
225625.105	334100	108474.895	48.0774934154601
200111.815	356900	156788.185	78.3502888122823
235289.23	340300	105010.77	44.6305043371513
84013.46	165500	81486.54	96.9922438618764
234258.39	328400	94141.61	40.1870814530912
231552.435	304400	72847.565	31.4605048312275
264281.605	412200	147918.395	55.9699926901836
223305.715	304900	81594.285	36.539273076822
218538.08	275400	56861.92	26.0192274042126
241603.125	321400	79796.875	33.0280806591388
226023.488451745	306300	80276.511548255	35.5168890181047
292243.14	401500	109256.86	37.3856029606033
229233.045	347400	118166.955	51.5488310160518
289794.900540765	335000	45205.099459235	15.5989975582321
263243.364213075	444500	181256.635786925	68.8551585445519
516708.554252215	675600	158891.445747785	30.7506900050714
295206.805	440500	145293.195	49.2174274234634
301262.961780755	464600	163337.038219245	54.2174309293666
225683.489071645	370100	144416.510928355	63.9907294602791
373421.79	488600	115178.21	30.8439981501883
155656.84	209000	53343.16	34.2697179256626
329427.305788615	529500	200072.694211385	60.7334882979514
515892.824789215	766300	250407.175210785	48.5386039848678
615926.9	818200	202273.1	32.8404393443443
344815.98	527600	182784.02	53.0091499819701
1129134.66530258	1000001	-129133.66530258	-11.4365158798818
400223.63	620400	220176.37	55.013335919221
266858.705	383500	116641.295	43.709008855454
348555.53919746	617200	268644.46080254	77.0736455432861
369552.588111925	601700	232147.411888075	62.8185052292924
315694.75	479300	163605.25	51.8238741695895
358732.32	569300	210567.68	58.6977164477402
279615.35	406000	126384.65	45.1994677688474
366077.055	576900	210822.945	57.5897730055766
383654.475188565	528300	144645.524811435	37.7020298643309
272012.905	475000	202987.095	74.6240679279536
290310.315	415700	125389.685	43.191605162221
414913.1	595400	180486.9	43.4999280572245
272270.615	652600	380329.385	139.688003055343
396229.125	589300	193070.875	48.727078051115
554574.128861295	676100	121525.871138705	21.9133682611977
502147.935	634600	132452.065	26.3771004056802
435272.19	630600	195327.81	44.8748655410308
233742.97	362400	128657.03	55.0420960253906
271755.20505069	406900	135144.79494931	49.7303427634815
317422.351893715	468500	151077.648106285	47.5951511306524
322121.305632455	441700	119578.694367545	37.1222555840457
322008.646417405	457900	135891.353582595	42.2011505263884
486169.90366076	895100	408930.09633924	84.1125897057963
486143.06651449	528300	42156.93348551	8.67171340892784
358705.64753042	567000	208294.35246958	58.0683225657649
359247.74541191	468500	109252.25458809	30.4113960305645
396366.74110916	613100	216733.25889084	54.6799810408793
1288532.1999703	1000001	-288531.1999703	-22.3922382364174
460423.01397752	646800	186376.98602248	40.4795113112178
390044.085	580000	189955.915	48.7011397698801
752991.733581135	787200	34208.266418865	4.5429803400596
751846.301541085	1000001	248154.698458915	33.0060409887318
1144243.1917351	1000001	-144242.191735105	-12.605903428307
773387.71	1000001	226613.29	29.3013823558174
471867.01	826100	354232.99	75.0705140416576
582038.035	881800	299761.965	51.5021264890361
956361.81	1000001	43639.1899999999	4.56304188892695
615540.335	1000001	384460.665	62.4590531504324
431918.277452955	616600	184681.722547045	42.7584874703897
390946.07	624800	233853.93	59.8174397814
474186.4	898800	424613.6	89.5457145122677
306932.61	598100	291167.39	94.8636216920711
526630.385	801700	275069.615	52.2320061346251
391203.783221375	669300	278096.216778625	71.0873025021988
373808.355	765900	392091.645	104.891086503404
425479.21	894600	469120.79	110.257041701285
402669.42288935	631200	228530.57711065	56.7538939189451
432823.945	590200	157376.055	36.3602930979246
487587.32	695700	208112.68	42.682135376285
378447.135	650600	272152.865	71.9130467191937
401512.18	628000	226487.82	56.4087047122705
328580.25	528800	200219.75	60.9348096850008
323039.485	655500	332460.515	102.91637104362
279228.785	514000	234771.215	84.0784430587985
642342.175	656900	14557.825	2.26636605326436
230779.305	469200	238420.695	103.311124452862
276007.41	443300	167292.59	60.6116299558769
394940.575	695000	300059.425	75.9758414288023
164290.12603084	594800	430509.87396916	NA
308865.435	536500	227634.565	73.7002393938966
181427.84	277300	95872.16	52.8431358715399
209518.23	345100	135581.77	64.7112043663217
214028.155	330100	116071.845	54.2320448447542
226269.38	355400	129130.62	57.0694187609477
131819.683598775	192500	60680.316401225	46.0328190332486
295076.610294565	384400	89323.389705435	30.2712538334592
298299.325	415200	116900.675	39.1890511317784
342367.735	467200	124832.265	36.461457152205
258096.565	346400	88303.435	34.2133321301661
160166.765	256400	96233.235	60.0831483360484
209002.81	330200	121197.19	57.9883064730086
205781.435	297900	92118.565	44.7652457083896
259771.687344735	374400	114628.312655265	44.1265612226421
175886.97861646	283100	107213.02138354	60.9556331155868
202560.06	333400	130839.94	64.5931581971293
170475.165	281900	111424.835	65.3613299039775
205008.305	346600	141591.695	69.0663214839028
299202.131450625	515800	216597.868549375	72.3918200379259
258354.275	350400	92045.725	35.6277150823225
131432.096778625	321900	190467.903221375	144.91734354827
131432.10283481	119000	-12432.10283481	-9.45895452227167
75198.3188846365	318300	243101.681115363	NA
358084.060932255	505400	147315.939067745	41.1400436769553
382957.06	563500	180542.94	47.1444344177909
336568.54717414	539100	202531.45282586	60.1753950350775
241731.98	291600	49868.02	20.6294673960806
220342.05	344400	124057.95	56.3024397748863
231939	307800	75861	32.7073066625276
293660.545	396500	102839.455	35.0198406803338
397904.229562745	551200	153295.770437255	38.5257956683976
337341.931147345	497700	160358.068852655	47.5357653604625
263464.26253011	352400	88935.73746989	33.7562812564478
327291.697551755	399100	71808.302448245	21.9401539927208
349068.195	548800	199731.805	57.2185629802222
354895.599622615	467100	112204.400377385	31.6161712054755
194957.960460255	338600	143642.039539745	73.6784685275924
300876.425	417500	116623.575	38.7612871297577
143931.035	215300	71368.965	49.5855289305743
213512.735	323500	109987.265	51.5132106757004
351386.123397735	498500	147113.876602265	41.8667291638453
395198.285	614000	218801.715	55.3650466878924
293531.69	370300	76768.31	26.1533294752604
244695.645	340900	96204.355	39.315924482432
299716.73	422500	122783.27	40.9664385434874
219826.63	284200	64373.37	29.2836996136455
199338.685	283000	83661.315	41.9694325765217
228846.482190535	349700	120853.517809465	52.8098647847441
202690.03371911	279300	76609.96628089	37.7966123322358
179495.015	239200	59704.985	33.2627538430524
174469.67	276000	101530.33	58.1936848966356
161728.47342595	174000	12271.52657405	7.58773412875173
267303.5846188	377000	109696.4153812	41.0381385411039
312086.81	458800	146713.19	47.010378298269
211322.2	334600	123277.8	58.3364170920045
268276.11	362000	93723.89	34.9356079451129
251396.105	437900	186503.895	74.1872651527357
357572.625	550900	193327.375	54.0666039521342
152690.880479015	246500	93809.119520985	61.4372772143898
291985.43	441400	149414.57	51.1719266266128
334378.73298901	463800	129421.26701099	38.70499354253
334378.71933038	380600	46221.28066962	13.8230329855266
235160.375	361000	125839.625	53.512257326516
330384.22	418000	87615.78	26.5193597926681
305128.64	448100	142971.36	46.8560932202234
304870.93	402700	97829.07	32.088684217941
408599.205	617200	208600.795	51.0526678582255
336182.695	575300	239117.305	71.127190232085
345975.690333745	494500	148524.309666255	42.9291172229417
469032.184150835	668800	199767.815849165	42.5914942725811
257065.725	83500	-173565.725	-67.5180345415555
166738.37	287200	120461.63	72.2458963704635
114680.95	197800	83119.05	72.4785153942307
300489.86	426000	125510.14	41.768510924129
246113.05	395700	149586.95	60.7797717349811
300618.715	444400	143781.285	47.8284543928012
220342.05	318400	98057.95	44.5026040195233
209260.52	334300	125039.48	59.7530198242841
228459.915	333600	105140.085	46.0212396559808
302680.40195817	394000	91319.59804183	30.1703042057048
302475.33206048	548100	245624.66793952	81.204859340532
70483.685876214	137500	67016.314123786	95.0806038172897
70483.684149557	115800	45316.315850443	64.2933416395882
280779.0781615	461100	180320.9218385	64.2216375305506
206554.565	268400	61845.435	29.941451548166
238124.04	296800	58675.96	24.6409224368946
265699.01	374100	108400.99	40.7984169756598
195730.745	259000	63269.255	32.3246381144669
216089.835	288500	72410.165	33.5092879311051
176660.205	195900	19239.795	10.8908483379151
197148.15	272600	75451.85	38.2716500256279
128855	197600	68745	53.3506654766986
206554.565	247100	40545.435	19.6294063992243
36079.4	93600	57520.6	159.427817535768
124087.365	208000	83912.635	67.6238350294569
201658.075	266700	65041.925	32.25356832351
147796.691313895	124600	-23196.691313895	-15.6950004142036
147796.680232365	297800	150003.319767635	101.493023748437
286186.955	381500	95313.045	33.3044687519038
252169.235	358500	106330.765	42.1664304132897
163130.432190535	334900	171769.567809465	105.295845479548
213641.59	312500	98858.41	46.273017346482
173052.26087664	169000	-4052.26087664001	-2.34163995090977
173052.27144275	362900	189847.72855725	109.705424248104
525986.11	679500	153513.89	29.1859208981773
240701.14	325500	84798.86	35.229937008192
434112.495	569700	135587.505	31.2332647785224
500343.965	608600	108256.035	21.6363227245081
200756.09	340100	139343.91	69.4095556453605
197148.15	312500	115351.85	58.5102370983446
216089.835	354400	138310.165	64.0058635798394
261833.94087834	401200	139366.05912166	53.2268882537332
441199.50943389	597700	156500.49056611	35.4715921527017
180783.565	254100	73316.435	40.5548120483187
353190.005260915	490900	137709.994739085	38.9903430696895
299845.582809465	444100	144254.417190535	48.1095688783918
452023.34	617300	165276.66	36.5637446951301
364530.809560615	546100	181569.190439385	49.8090108373112
275234.28	365500	90265.72	32.7959584104131
231165.87	253000	21834.13	9.44522216882621
335151.855	497000	161848.145	48.2909888712983
277948.774349705	340500	62551.225650295	22.5045876876562
317105.934782585	407400	90294.065217415	28.4744166895907
317112.144305035	379800	62687.8556949649	19.7683553975355
279486.55401559	367300	87813.44598441	31.4195601622795
174735.002159815	210200	35464.997840185	20.2964474214206
283738.71	371100	87361.29	30.7893448870618
134009.19613435	191900	57890.80386565	43.1991277730015
164920.863911105	227400	62479.136088895	37.8843128802504
238595.47843827	299300	60704.52156173	25.4424442403822
417079.17522848	623400	206320.82477152	49.4680235853289
328064.828324885	410900	82835.171675115	25.2496349877173
328064.81350656	528700	200635.18649344	61.1571793844414
315704.50793144	391400	75695.49206856	23.976690280583
