"","tractid","mhmval00","mhmval12","hinc00","hu00","vac00","own00","rent00","h30old00","empclf00","clf00","unemp00","prof00","dpov00","npov00","ag25up00","hs00","col00","pop00.x","nhwht00","nhblk00","hisp00","asian00","cbsa","cbsaname","mar00","ag15up00","ag18cv00","wds00","p.white","p.black","p.hisp","p.asian","p.hs","p.col","p.prof","p.unemp","p.vacant","pov.rate","p.mar","mhv.00","mhv.10","mhv.change","mhv.growth"
"21","6073002001",380700,762400,88898,1612,42,1369,201,1432,1884,1931,47,1334,3264,161,2724,327,1800,3328,2903,46,238,91,"41740","San Diego-Carlsbad-San Marcos, CA",1585,2912,2840,664,87.2295673076923,1.38221153846154,7.15144230769231,2.734375,78.0837004405286,66.079295154185,70.8067940552017,2.43397203521491,2.60545905707196,4.93259803921569,54.4299450549451,490550.985,762400,271849.015,55.4170765756387
"22","6073002002",287000,552400,60000,1196,31,784,381,903,1532,1596,64,862,2565,377,1860,426,887,2521,1941,116,233,200,"41740","San Diego-Carlsbad-San Marcos, CA",845,2316,2298,436,76.9932566441888,4.60134867116224,9.2423641412138,7.93335977786593,70.5913978494624,47.6881720430108,56.266318537859,4.01002506265664,2.59197324414716,14.6978557504873,36.4853195164076,369813.85,552400,182586.15,49.3724477869068
"23","6073002100",158800,435600,29234,2529,106,483,1940,1575,2839,3051,212,862,5562,1465,3630,1584,853,5588,2178,849,1852,574,"41740","San Diego-Carlsbad-San Marcos, CA",1334,4383,4185,1067,38.9763779527559,15.1932712956335,33.142448103078,10.2720114531138,67.1349862258953,23.4986225895317,30.3628038041564,6.9485414618158,4.19137999209174,26.3394462423589,30.4357745836185,204621.74,435600,230978.26,112.88060594148
"24","6073002201",103900,315200,20697,1219,46,134,1039,727,1227,1347,120,147,3708,1604,1838,1384,95,3820,370,532,2354,504,"41740","San Diego-Carlsbad-San Marcos, CA",1076,2532,2385,455,9.68586387434555,13.9267015706806,61.6230366492147,13.1937172774869,80.4678998911861,5.16866158868335,11.9804400977995,8.9086859688196,3.77358490566038,43.2578209277238,42.4960505529226,133880.345,315200,181319.655,135.434110959305
"25","6073002202",97100,208800,18389,1602,66,123,1413,712,1530,1697,167,158,5055,2083,2608,2127,91,5075,406,513,2947,1176,"41740","San Diego-Carlsbad-San Marcos, CA",1647,3480,3213,605,8,10.1083743842365,58.0689655172414,23.1724137931034,85.0460122699387,3.48926380368098,10.3267973856209,9.8408956982911,4.11985018726592,41.2067260138477,47.3275862068966,125118.205,208800,83681.795,66.8821895262964
"26","6073002301",205000,311800,23344,1200,47,118,1035,671,1283,1472,189,318,3014,991,1804,977,258,2918,584,439,895,965,"41740","San Diego-Carlsbad-San Marcos, CA",810,2314,2162,497,20.0137080191912,15.0445510623715,30.6716929403701,33.0705962988348,68.4589800443459,14.3015521064302,24.7856586126267,12.8396739130435,3.91666666666667,32.8798938287989,35.0043215211755,264152.75,311800,47647.25,18.0377641345774
"27","6073002302",93800,154100,20473,2142,103,220,1819,1194,2221,2482,261,232,6696,2630,3506,2672,186,6709,577,827,3554,1674,"41740","San Diego-Carlsbad-San Marcos, CA",1935,4554,4265,960,8.60038753912655,12.3267252943807,52.9736175286928,24.9515576091817,81.5173987450086,5.30519110096977,10.4457451598379,10.5157131345689,4.80859010270775,39.2771804062127,42.4901185770751,120865.99,154100,33234.01,27.4965769940742
"28","6073002401",138400.0009,232000,24274.00053,1829.312988,105.9602051,298.8877563,1424.465088,1026.614502,2060.226318,2244.157227,183.9309235,450.8306885,5447.954124,1912.28186,2892.913574,1871.297241,241.9091492,5464.947743,869.6734009,737.7229614,3338.746094,471.8228149,"41740","San Diego-Carlsbad-San Marcos, CA",1579.40686,3726.600586,3497.686523,653.7545166,15.9136636212845,13.4991768648647,61.0938338482114,8.63361988235575,73.0476848389941,8.36212845672796,21.8825807903304,8.19599096208957,5.79234968510484,35.1009170869443,42.3819731562721,178335.321159695,232000,53664.678840305,30.092007848658
"29","6073002402",107900,346600,19205,1475,69,192,1214,877,1287,1525,238,129,5052,2308,2504,2003,121,5102,424,574,3223,823,"41740","San Diego-Carlsbad-San Marcos, CA",1535,3393,3158,559,8.31046648373187,11.25049000392,63.171305370443,16.1309290474324,84.8242811501597,4.83226837060703,10.02331002331,15.6065573770492,4.67796610169492,45.6848772763262,45.2402004126142,139034.545,346600,207565.455,149.290563003605
"30","6073002501",121303.3373,286700,25962.32836,1705.686953,61.03979071,575.1122398,1069.534922,1210.385519,1995.773667,2290.842737,295.0690707,297.1692982,6091.045843,2105.71811,3030.086361,2296.702719,179.0908429,6109.052225,841.3265841,601.2770334,3705.253783,904.1771813,"41740","San Diego-Carlsbad-San Marcos, CA",1756.593107,4169.399432,3820.313469,742.2455012,13.7718021243467,9.84239471614601,60.6518596753361,14.8006130574534,81.7070296664063,5.9104204159018,14.8899298108637,12.8803721850593,3.57860453834403,34.5707151821875,42.1306026359146,156305.415277915,286700,130394.584722085,83.4229476248408
"31","6073002502",136799.9971,328800,37743.99946,1937.497925,32.94046021,1003.186768,901.3707886,1358.544434,2356.740234,2526.433594,169.6932831,594.9246826,5795.524626,1138.941406,3312.013672,1837.678467,386.3017578,5843.438022,1692.940063,895.3815918,2494.491211,680.7695313,"41740","San Diego-Carlsbad-San Marcos, CA",1795.75415,4260.299316,3909.932861,876.4158936,28.9716440326095,15.3228559698755,42.6887596241882,11.6501540486434,67.1488841849201,11.6636522688847,25.2435408034028,6.71671258263042,1.700154605843,19.6520846601265,42.150891681621,176273.636263205,328800,152526.363736795,86.5281768562648
"32","6073002601",111799.9966,247700,24849.0007,1665.103516,71.96125793,439.7632446,1153.379028,1145.383301,1981.932983,2214.807617,232.8746185,178.9036713,6250.634655,2328.746094,3124.317871,2383.716553,184.9004517,6289.613669,565.6954346,422.7723694,3990.851318,1259.322021,"41740","San Diego-Carlsbad-San Marcos, CA",2019.912476,4066.810547,3777.96582,521.7191162,8.99412053538641,6.72175417520068,63.451453905189,20.0222475858398,82.2136898598561,5.91810626621096,9.02672657625377,10.5144400223543,4.32172878373767,37.2561543352593,49.6682216359955,144059.88561893,247700,103640.11438107,71.9423828054541
"33","6073002602",107103.9852,280900,24447.28889,1217.896502,35.03874437,279.2367712,903.6209862,510.6166812,1483.067085,1669.192466,186.1253811,202.0963228,4597.365379,1538.253811,2236.682151,1763.283407,128.0995515,4652.386366,429.3045738,587.2276232,2641.148698,959.6780265,"41740","San Diego-Carlsbad-San Marcos, CA",1348.087533,3056.189595,2746.03408,455.2808967,9.22762083857418,12.6220734264786,56.7697626599054,20.6276510806025,84.5619909674864,5.72721302589766,13.6269171397597,11.1506243223123,2.87698866960043,33.4594639361598,44.1100753436732,138008.84012946,280900,142891.15987054,103.537686235534
"34","6073002702",164400,315600,33553,1952,53,606,1293,1228,2333,2537,204,614,4647,909,2759,1158,631,4723,2103,861,1036,654,"41740","San Diego-Carlsbad-San Marcos, CA",1447,3931,3684,671,44.5267838238408,18.2299385983485,21.9352106711836,13.8471310607665,64.8423341790504,22.8706052917724,26.3180454350622,8.04099329917225,2.71516393442623,19.5610071013557,36.8099720172984,211837.62,315600,103762.38,48.9820363351892
"35","6073002703",125000,273900,37750,2345,60,1294,991,1547,2839,3003,164,573,6431,1063,3904,1859,639,6447,2475,997,1994,879,"41740","San Diego-Carlsbad-San Marcos, CA",2181,4978,4622,949,38.3899488134016,15.4645571583682,30.9291143167365,13.6342484876687,63.9856557377049,16.3678278688525,20.1831630855935,5.46120546120546,2.55863539445629,16.5293111491214,43.8127762153475,161068.75,273900,112831.25,70.0516083970354
"36","6073002705",138600,278700,41429,1325,20,1019,286,966,1701,1811,110,389,4018,225,2683,1427,313,4071,1095,741,960,1241,"41740","San Diego-Carlsbad-San Marcos, CA",1595,3111,2936,642,26.89756816507,18.201915991157,23.581429624171,30.4839105870793,64.8527767424525,11.6660454714871,22.8689006466784,6.07399226946438,1.50943396226415,5.59980089596814,51.2696882031501,178593.03,278700,100106.97,56.0531225658695
"37","6073002707",99200,211400,18703,1800,45,116,1639,969,1937,2227,290,187,6618,3091,3057,2537,66,6618,382,1280,3365,1518,"41740","San Diego-Carlsbad-San Marcos, CA",1937,4248,3888,707,5.77213659715926,19.341190692052,50.8461770927773,22.9374433363554,85.1488387307818,2.15897939156035,9.65410428497677,13.0220026942075,2.5,46.7059534602599,45.5979284369115,127824.16,211400,83575.84,65.383445508267
